LeidenCluster	LC00	LC01	LC02	LC03	LC04	LC05	LC06	LC07	LC08	LC09	LC10	LC11	LC12	LC13	LC14	LC15	LC16	LC17	LC18	LC19	LC20	LC21	LC22	LC23	LC24	LC25	LC26	LC27	LC28	LC29	LC30	LC31	LC32	LC33	LC34	LC35	LC36	LC37	LC38	LC39	LC40	LC41	LC42	LC43	LC44	LC45	LC46	LC47	LC48	LC49	LC50	LC51	LC52	LC53	LC54	LC55	LC56	LC57	LC58	LC59	LC60	LC61	LC62	LC63	LC64	LC65	LC66	LC67
LC00	0.025735112997169397	0.0015946089628785414	0.002851564866021463	0.021126550607919483	0.001273793543740178	0.003171909819730048	0.0020194072901776597	0.0010305709795704558	0.002613585784184774	0.02258994019768394	0.0034095678804603887	0.0001906759951197194	0.003402110376991838	0.004578238493542516	2.930795763699961e-05	0.012516433530733102	0.005407541705282669	0.008199554298274177	0.002548681883497292	0.0020116702659695386	0.0017928862508858965	0.007947344525159461	0.0	0.001255892878444471	0.0034827095616508587	0.0027078799067236686	0.00011793327154772937	0.004165488357926086	0.009606408392189446	0.0	0.0029933834020291696	0.0006843152610441766	0.008116510896527285	0.006844795357902197	0.0001252742312533717	0.00508441916921417	0.0028141493392926545	0.0	0.003837899096385542	0.005307262099244436	0.005825527108433735	0.01613318083655376	0.0027631458526413345	0.0017349043231750533	0.009102133021883452	0.004909229103915663	0.004588980389643681	0.006028143424762882	0.0055136780455153946	0.008261529840291397	0.005932964415802746	0.001996464429145152	0.0004280120481927711	0.0022725830149867765	0.0030759224397590365	0.003178692188107268	0.007378334025758205	0.0029046148881239245	0.0027322074010327022	0.0032210322057460612	0.0023680301204819275	0.008060911471974855	0.015162388685175485	0.007196654007333683	0.0014399096385542167	0.0021403791637136784	0.008290737951807228	0.004190361445783133
LC01	0.005376282114946272	1.0010445032870707	0.0035507081671835774	0.00012561470006591956	0.00981599588719154	0.0005166602316602317	1.542601923957856e-05	0.0	0.0005150076714268854	0.0016428457097874573	0.000543947455835724	2.3015737256243582e-05	0.0003070043591979076	0.0005260295547345907	0.0	0.0008460742098030233	0.8106678147378148	0.0008830248356464572	0.0	0.0	0.0	0.0007593879173290939	0.0	0.0	0.0	0.002693202557396106	0.0	0.007188587913756452	9.380863622242931e-05	0.0	0.0	0.0	0.0022453656597774246	0.0	0.0	0.0	0.00015674803836094158	0.0	0.0	0.007489949610627576	0.0	0.0009688934217236103	0.000785945945945946	0.0	0.0	0.0	0.0	0.0	0.009168102102102102	0.0	0.7978313199245758	0.0	0.0	0.0	0.022308496621621623	0.7879519790758501	0.22838730661696177	0.0	0.0	0.00034194386694386694	0.0	0.0	0.791751269095182	0.04328440658049354	0.0	0.0	0.0023182432432432435	0.0
LC02	0.01363159058364606	0.04147145591493133	0.6286756726089163	0.01603659369585499	0.0005153708323433912	0.0009178848761247382	0.015247910299157173	0.0009834925160370632	0.10122012432290547	0.008364512706244363	0.0029988033092163504	2.0986373383136196e-05	0.14001845231799753	0.014058063057750522	2.3382689934778776e-05	0.029082840835417244	0.01957870487132782	0.008993115246393934	0.6058178673484735	0.575786093927209	0.0	0.015178431908282438	0.0	0.0004365254558242709	0.0	0.6609132028908866	0.0	0.036972818812549886	0.026675956284153007	0.0	0.015289013517400057	0.021278204007285976	0.062055576984892315	0.006080070716811314	0.022263082130331947	0.0003591224206834679	0.5277271637581527	0.0	0.002448234061930783	0.002636343428730203	0.015860670916818455	0.009818419424682957	0.022642875157629257	0.0030376942033644057	0.010573525147764024	0.0	0.017798069991861412	0.01932417160795256	0.014539162112932606	0.0019229381115770745	0.020820777735417458	0.6541560889929743	0.0	0.621331580701053	0.7339737619535519	0.02426077912920853	0.10424879404560015	0.002295357142857143	0.004673614363778298	0.027530800756620427	0.1487104699453552	0.00015199572344975053	0.022347220242337845	0.027878629128058923	0.6744186942766753	0.6387620218579235	0.022188661202185794	0.0029060109289617488
LC03	0.011595294363429327	0.0	0.0	0.9962050416418797	0.0047787314422057265	0.006807193288098295	0.0	6.291092258748674e-06	0.0	0.6797066007577551	0.0	0.0	0.0	0.0	0.23291552419354838	0.00020030487804878052	0.0	0.0018988958470665788	0.0	0.0	0.0	0.0016155637254901961	0.0	0.0008848406182081622	0.0	0.0	0.0	0.0	0.003559381132604429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011072662601626016	0.00759446568830095	0.0004239837398373984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00031826558265582656	1.4357629041406693e-05	0.0	0.0	8.477840571088638e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006742841993637329	0.0	0.0	0.0	0.0	0.0	0.0
LC04	0.00038297592544089403	8.246474735605171e-05	0.0	1.1329091551785084e-05	0.998700674753203	0.90098111447096	0.0	0.0	0.0009717407126131259	0.007870326790488252	7.416201117318435e-05	0.0	0.0	0.0	0.0	0.0	0.0	3.0343386865125998e-05	0.0	0.0	0.0	0.000295460358056266	0.0	0.00030730377385564643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8292312883812332	0.0	0.04525322668854252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003451899050474763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC05	0.0006782532385179817	7.819752082909979e-05	0.0	0.00012193402714102329	0.9023943036940176	0.9928904022273728	0.0	0.0	0.0	0.0028442970289802175	5.1371445373209565e-06	2.070048539069192e-05	0.0	0.0	0.0	0.0	0.0	0.00017495427758585654	0.0	0.0	0.0	2.2364735367831344e-05	0.0	0.006496530931288618	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004635213032581453	0.8261967822097617	0.0	0.15947702510994466	0.0	0.0	6.714746048795458e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC06	0.016231309985705534	0.0072969857993586806	0.027160523756599053	0.004187952149648615	5.1851510685335303e-05	0.0	0.9921275872594082	0.0	0.776628158537488	0.0007559856837255224	3.557428273837705e-05	0.0	0.7669762274466921	0.07549179063528838	0.0	0.0008587869864981327	0.000758083441981747	0.003017563750190869	0.004603864095786036	0.0048301407099456345	0.0	0.000885979561316052	0.0	1.480953180063769e-05	0.0	0.009778102788408967	0.0	0.8169729289659112	0.0034630479251899476	0.0	0.029202118644067798	0.9114710564971751	0.008606947906281156	0.12185494142572284	0.9573879964583859	0.0	0.005675608255877529	0.0	4.692090395480226e-05	0.0010447213444412524	0.02799021500313873	0.004935513271506236	0.7810063966753585	0.0	0.0030892943618125216	0.0	0.1405027136675081	0.10129286873422286	0.016596459510357816	0.0	0.0005250295624753646	0.0	0.0	0.00843727780074411	0.0036842955508474572	0.0024800437397484963	0.09508911455289304	0.01236186440677966	0.000811864406779661	0.000682431551499348	0.773954440677966	0.0	0.0016999263080324243	0.01765493736182756	0.0	0.00223678963110668	0.014290254237288136	0.0
LC07	0.00023344552121529595	0.0	0.0	0.0	1.3497164461247638e-05	0.0	0.0	0.9912801531190926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1334481274214377e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5940312190963343	0.0	0.0	0.0	0.0	0.0	0.09300313447927198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC08	0.011266524175303836	0.12758126165466777	0.05611719283174649	0.012101664181488978	0.0013992990949939876	0.00024254358603933415	0.7697422082007254	0.0	0.9406456379550352	0.0037630665196930514	8.566758556756361e-05	0.0	0.9561916777010846	0.06861692689516509	3.21805888153261e-05	0.015438709199911185	0.03819355055424924	0.012747826429049137	0.058047249709546896	0.10382173518991514	0.0	0.0020747581128521277	0.0	0.0013588784642656405	0.0	0.049644874865004456	0.0	0.5249820077523183	0.0031029463434221758	0.0	0.01806670305676856	0.674761135371179	0.013572469817621372	0.010441587464680194	0.6881096656455713	0.0	0.1615835047189745	0.0	0.013143660844250364	0.0016471393679224336	0.046269238233867055	0.027234217681469886	0.6529963134027544	0.0	0.005814490687104537	0.0	0.002666273343863235	0.0055152838427947595	0.0010756040756914119	0.0	0.011253336041433939	0.23202290496984818	0.0	0.07007285120886142	0.043583010371179044	0.04895447246090999	0.3751860864327662	0.038195757953836555	0.023640798502807238	0.005025092374874035	0.9530511266375545	0.0	0.021669071577748243	0.053082817543193474	0.14200287290278096	0.2373502440277421	0.0	0.0015789769182782284
LC09	0.012187964966662766	0.0	0.0	0.6796855419725314	0.005169793865203321	0.002695652967369881	0.0	0.0	0.0	0.9405797813177491	0.004204716060096546	4.3289910286346314e-06	0.0	4.4073479080813015e-05	2.9055746946445345e-05	0.0003587707750534804	0.0	0.0013747878946908075	0.0	0.0	0.0	0.004072330097087379	0.0	0.0053137220032682874	0.0	0.0	0.0	0.0	0.012416488115165719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004112563765015633	0.0	8.334859864444038e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0009010355987055015	0.0	0.0	0.0	0.0005004262372720814	0.0	0.0	0.0008612590040714063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026189109328830723	0.0	0.0	0.0	0.0
LC10	0.0007635962845796595	0.0	0.0	1.8980787573238862e-05	0.0	1.1034569664384425e-05	0.0	0.00040596793781880013	0.0	0.00029804740467538106	0.7285019849567741	0.00023929707941446857	0.0	0.001030231903862385	0.0	5.6883817820282175e-05	0.0	0.0017562685590618553	0.0	0.0	0.0	0.0	0.0	0.0008417500967973892	0.0	0.0	0.0	0.0	0.00017175239196044436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005532714705046871	0.0	0.0002776009275851165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC11	0.0002950663413146256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013095254932465877	0.009924178817497195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9484897856874295e-05	0.0	0.0	0.0	0.0	0.0	0.00037549496916585524	0.0	0.0	0.0	0.0	0.0	0.0	9.683544303797466e-05	0.0	0.0	0.001421926625187728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005281507980187122	0.0	0.0	0.0	0.0	0.0	0.0
LC12	0.010160762728332684	0.11201100784655624	0.0850089247311828	0.0013516601101494887	0.0	0.0	0.7945555139420448	0.0	0.9696364952810255	0.002809661760100219	0.0	0.0	1.0027080957336107	0.1191392434439545	0.0	0.017731913613996717	0.015654684312103668	0.008171275791920953	0.07438423202130809	0.13243311016433354	0.0	0.0	0.0	1.6614500159693386e-05	0.0	0.0901467707249393	0.0	0.4647617470097862	0.0	0.0	0.012554202037351444	0.7116607139784946	0.0010994686907020873	0.0	0.7807560519980742	0.0	0.22939142559833509	0.0	0.02856394623655914	0.0	0.037752293906810036	0.038478648813146686	0.6465394665012406	0.0	0.003085766951942067	0.0	0.0	0.0022613040494166093	0.0	0.0	0.0	0.232912242703533	0.0	0.052755656963021244	0.014249939516129032	0.0012863683662851196	0.3024885873192436	0.0013833640552995392	0.0	0.00342803970223325	1.002738064516129	0.0	0.010387994389901824	0.0	0.18010336162988114	0.20926470588235294	0.0	0.0
LC13	0.0098769979197365	7.69045304297103e-05	0.0005936922593073082	0.0002005176346727496	0.00012386612449171098	0.006893803753989289	0.0021184276307767346	0.0	0.008015557161257892	0.0003620067053153594	0.007946863068204654	0.0	0.0036383894174982596	0.7893881683142694	0.0	0.010246567491769297	0.007587855869150834	0.14136483245835765	0.0	0.0	0.0	0.09354341938214135	0.0	0.0	0.0	4.1192852169877e-05	0.0	0.0021179936949316954	0.0	0.0	0.0008989208633093526	0.00808261870503597	0.01656540414727042	0.0898579348286077	0.0	0.0	0.0005370155488512416	0.0	0.1518334892086331	0.007129679307401536	0.007036570743405276	0.00567325912854622	0.0005398450470392917	0.0	0.08872014388489209	0.0	0.08668030001530691	0.09078564212459819	0.042982509992006396	0.0	0.004228743516814454	0.0	0.0	0.0	0.0007964703237410071	0.013912044557902065	0.0	0.0	0.0	0.15270921416712782	0.007198733812949641	0.0	0.0	0.0001795433218642477	0.0	0.0	0.0237068345323741	0.0
LC14	0.0001594806645938593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9944007023933402	0.0	0.0	0.0	0.0	0.0	0.0003367172675521822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC15	0.015465075556463141	0.03530366468163078	0.008850647865147727	0.020798721062422486	0.0	0.0002205269529756595	0.0	0.0	0.0005601657908370956	0.010123070594043113	0.0017777293816873402	6.315168418794249e-05	0.0	0.0502305511522985	0.0	0.8526226802642919	0.04508779516152398	0.054964590013742556	0.0039007463846991134	0.004091389510713144	0.0	0.11926995679627783	0.0	0.0001321782178217822	0.0	0.0036589666484417712	0.0	0.004033374595315178	0.0014051431911163061	0.0	0.0	0.0004714915254237289	0.02411156530408774	0.06575088484546361	0.0	0.0	0.01753447238928376	0.0	0.07970641242937852	0.0021679258833668487	0.004212146892655367	0.009445107131435882	0.0002172099087353325	0.0	0.079107315807679	0.0	0.07999994590695997	0.0666951676884241	0.6099239548022599	0.0	0.061312475364603866	0.003163841807909605	0.0	0.003661099627945432	0.006234375	0.04801334062329142	0.006939801285797779	0.0	0.0	0.007364830508474575	0.0	0.0	0.04464521002210759	0.07193478260869565	0.01901271186440678	0.0006846460618145564	0.7590063559322033	0.0
LC16	0.003510816342292246	0.8037155740355741	0.00022684367848302273	0.0013358896185115697	0.0	0.0	0.0	0.0	0.0	0.0013869346942162475	0.0	0.0	0.0	0.011321957818360697	0.0	0.008921983195712009	1.0004811454452478	0.017874204974204975	0.0	0.0	0.0	0.009751985922574157	0.0	0.0022343065075738342	0.0	0.0006002757099531292	0.0	0.010245030250648228	0.0010768837803320562	0.0	0.0	0.0	0.02681019356460533	0.007554298642533937	0.0	0.0	0.0007371381306865177	0.0	0.0	0.0006970157902361292	0.0	0.009556861796484439	0.010831952662721894	0.0	0.025884283969998253	0.0	0.0	0.017428041462084015	0.06305538461538462	0.0	1.0004204333134565	0.0	0.0	0.0	0.004128205128205128	1.0000882823269919	0.0	0.0	0.0	0.0	0.0	0.0	1.0000648829431438	0.020840802675585288	0.0	0.0	0.01821794871794872	0.0
LC17	0.015053147997394985	5.92281470659849e-05	0.00023489391030374635	0.006553826082179742	0.0006358924141532837	0.004679919393077288	0.0	0.0	9.614855029702193e-05	0.00669115717659407	0.03099441038804167	4.347131942068651e-05	0.0	0.11965048933825913	0.0	0.03616452893571538	0.013063886963886964	0.3508691015339664	0.0	0.0	0.0	0.08678031266560679	0.0	0.001737017215235037	0.0	0.0018474668216603703	0.0	0.0023225630124506526	0.002080977529253391	0.0	0.005896977240398294	0.0	0.043473979862215156	0.0829088102808691	0.0	0.0	0.0012183667538506247	0.0	0.10781333333333334	0.00723728813559322	0.0005051051051051052	0.016833911269760325	0.0027040540540540538	0.0	0.09106267696267697	0.0	0.08649852405597087	0.09762039486294806	0.0010297497497497496	0.0	0.014698973391996648	0.0	0.0	0.0	0.0	0.00705178727114211	0.012505591798695247	0.0	0.0	0.012823388773388775	0.0	0.0	0.012251037994516255	0.05364782608695652	0.0004671408250355619	0.0	0.00797207207207207	0.003504504504504504
