LeidenCluster	LC000	LC001	LC002	LC003	LC004	LC005	LC006	LC007	LC008	LC009	LC010	LC011	LC012	LC013	LC014	LC015	LC016	LC017	LC018	LC019	LC020	LC021	LC022	LC023	LC024	LC025	LC026	LC027	LC028	LC029	LC030	LC031	LC032	LC033	LC034	LC035	LC036	LC037	LC038	LC039	LC040	LC041	LC042	LC043	LC044	LC045	LC046	LC047	LC048	LC049	LC050	LC051	LC052	LC053	LC054	LC055	LC056	LC057	LC058	LC059	LC060	LC061	LC062	LC063	LC064	LC065	LC066	LC067	LC068	LC069	LC070	LC071	LC072	LC073	LC074	LC075	LC076	LC077	LC078	LC079	LC080	LC081	LC082	LC083	LC084	LC085	LC086	LC087	LC088	LC089	LC090	LC091	LC092	LC093	LC094	LC095	LC096	LC097	LC098	LC099	LC100	LC101	LC102	LC103	LC104	LC105	LC106	LC107	LC108	LC109	LC110	LC111	LC112
LC000	0.0064760783150485555	3.3753054018122073e-06	0.0016546661284292438	0.0	5.9036648374938424e-05	0.0005734580826982227	0.0	0.0005549232656895544	0.00037797366412913616	0.0006608692885734651	0.0003075359855095571	0.001610989140196725	0.0	0.0002442466553829708	7.668792274385334e-05	0.00044892476073407086	0.0008257963486555868	0.0	0.00017965149634301816	0.0002708824586719753	0.0003900513942632652	0.0	0.0	0.0	0.0	3.644404832408999e-05	0.0006472932552491929	1.9948322514081084e-05	2.4392048518692478e-05	1.3507584339513164e-06	0.0	5.1513195786911314e-05	0.00025796374128454915	0.0008471902118548431	0.001563933353494148	0.0007279956776815094	0.0	9.901711338766199e-05	0.0010350921057997128	0.0016305546585512237	0.0	0.0	0.0	0.006431356401022911	0.0012722277111013932	0.0	0.0036035942533369334	0.0	0.003604387327306111	0.0001559397995929231	0.0	0.0003793539433793074	0.0013988460015288407	0.00022515678153066599	0.0004508497970301057	0.0	0.0	0.0006217154668462483	0.0	0.0	0.0	0.0	9.365551554372597e-05	0.0	0.006746441794341321	0.0	0.0001561535666492374	0.0	9.948769484527074e-05	0.0	0.0002813734034305376	0.0	0.00010972112196182077	0.0	9.048849224988257e-05	0.0	0.0	0.0	0.0	0.0	0.0008529121653358385	0.0	0.0	4.081728511038046e-05	0.0	0.0	0.0	0.0	0.007712796949686403	0.0	0.0	0.0	3.140558947862846e-05	0.012274333702025788	0.0	0.0	0.0	0.0	0.0006087845937059653	0.0026198802254579615	0.0028334100516674496	0.0	0.0008710192578675435	0.0019280648191639267	0.008841605716969736	0.009313477152251224	0.0016431305777360264	0.0006095263405107413	0.0007860002224914094	0.0	0.008648262094880226	0.0	0.002773586484264913
LC001	0.0009366998687733944	1.002145927264282	0.0031507467330852148	0.0	0.0	5.943465247755237e-06	0.0	0.0	0.0	0.0	0.0014674024682016736	0.0004935364593244307	0.0	0.0018471260417901015	0.006101463310046633	8.256176224480678e-05	0.0003362857299811393	0.0	0.0	0.006554077809619512	0.0	0.0	0.0	0.0	0.0	0.0	0.00014113450805488533	0.0	4.031834669721268e-05	0.0	0.0	4.215673283332892e-05	0.0	0.003150441677451987	0.00036451160382243566	0.00027280654158456366	0.0	0.002264111555275031	0.0012460208542815364	0.0	0.0	0.0	0.0	0.0	0.0013911017190908173	0.0	0.2418507292258571	0.0	2.8648244393324054e-05	0.0	0.0	0.0	0.0	3.2593981047589294e-05	0.0034416684264752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9162566394346107	0.0	0.00019180052745145046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009502405498281787	0.0	0.003197479954180985	0.0	0.0	0.0	0.0	0.0	0.0	0.0002734671730873576	0.000272888406583469	0.0	0.0	0.0	0.0004286082474226804
LC002	0.0015899166233457975	0.0	0.2059545868635571	0.0	0.0005457804740999273	0.0010265158075995866	0.0	0.002380381856182568	0.00036048806813931364	0.00016740404910345924	0.00020177246690681672	0.018386195571114487	0.0	0.0007196500593119811	0.0013606376089356532	6.530901121459159e-05	1.154339677502955e-05	0.0	0.0	0.0	0.003004430482574741	0.0	0.0	0.0	0.0	5.653131746277344e-05	3.6367078064662675e-06	0.0	0.0	0.0	0.0	0.0	2.246152424088367e-06	0.00010021783673029225	0.008564219438079917	0.004014916716777897	0.0	0.0001673258423857596	0.002958661265652832	0.0006376651673915909	0.0	0.0	0.0	0.00011423048196476428	0.0014893956540907086	1.1152477415822612e-05	0.005102896946600537	0.0	0.008461495740321364	0.0	0.0	0.00037959667852906285	0.0	0.0001612477084007333	3.291848081804144e-05	0.0	0.0	8.540210664722949e-05	0.0	0.0	0.0	0.0	0.00014377224199288257	0.0	0.00022365325582027114	0.0	0.00019604736005729762	0.0	0.0001846781980192557	0.0	0.0002667752861981734	0.0	0.0	0.0	0.006238929470770639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015788849347568208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026926874067271264	0.0	0.0	0.0	0.0	0.0016067425860023725	0.06390035587188612	0.06418113879003559	0.0	0.049361506524317915	0.04926494661921708	0.0	0.010476986951364176	0.04817716488730723	0.04950751076980708	0.050228600861584566	0.0	0.0	0.0	0.0003772835112692764
LC003	0.00038661141458125374	0.0	8.874062143359533e-05	0.9966174507456675	0.01620170775525042	7.902875086660415e-05	0.0	5.388511915512096e-06	0.0	0.0	0.0	1.6500368559980564e-05	0.0	2.1315663280875365e-05	0.0	0.0	0.0	0.4496714542157996	0.0	0.0	0.00048700768258290385	0.0	0.0	0.23658942847553943	0.0	2.085574514530707e-06	0.0	0.0	8.264737556772957e-05	0.0	0.0	0.0	0.0	0.0038185678165071337	0.00017442391285523785	0.000135177253800547	0.0	0.0	0.00020791013044662419	0.0	0.0	0.0	0.0	6.37430350704687e-05	0.0003885343253362784	0.0	0.0	0.0	0.00042283854520379057	0.0	0.0	0.0	0.0	0.0004273934030571199	4.570976558913475e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001598728057054072	0.0	0.0	0.0	0.0	0.0	9.748069395153307e-05	0.0	0.0	0.0	0.0008975979772439949	0.0006391908975979773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013776805235368485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9868342678664386	0.028528381795195956	0.0	0.0
LC004	0.00044396713639085166	0.0	0.0005570841651477013	0.0	0.9732178575607119	3.538614435380347e-05	0.0	1.7500196484241963e-06	0.0	1.6034685220680614e-05	3.8079086730027126e-06	3.1870810736223255e-06	0.0	0.00023959430746757558	0.00023040537684406308	0.0	2.8429671414597668e-05	0.0	0.0	0.0	1.9884057831394943e-06	0.0	0.0	0.0	0.0	1.2110073699625522e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009060537152193121	7.689872861237624e-06	0.003397130705962257	0.0	0.00023449739330905662	0.00015840367525354047	0.0	0.0	0.0	0.0	2.911615081063092e-06	6.575381543289118e-05	0.0	0.00015522727502451154	0.0	0.00043402115447861744	0.0	0.0	0.0	0.0	0.0012551211732213016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.603886368313262e-05	0.0	0.0	0.0	0.0009499164104248141	0.0	3.795876703218522e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009204107830551988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006369539111350367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001440308087291399	0.0	0.0	0.0	0.0	0.0	0.0
LC005	0.0006068203336414188	0.0	0.0009498035434125434	0.0	0.0	0.0922667471383975	0.0	0.005055228966425279	0.011862561077206237	0.0008375678303137429	0.0	0.0003269299148891458	0.0	8.991323692992212e-06	0.0	0.0	4.019022517618748e-06	0.0	0.0	0.0	6.117048962052895e-06	0.0	0.0	0.0	0.0	0.0001772256728778468	0.0	0.0	4.94205495818399e-06	0.0	0.0	0.0	3.884038542103058e-06	5.1956430666108083e-05	0.0003806812196199735	4.7247252256277366e-05	0.0	0.0	8.261051758116377e-05	1.1640232974910394e-05	0.0	0.0	0.0	3.616439665471924e-05	0.0004908921023359288	0.0	0.0001384780289560579	0.0	0.00023114796054385497	0.0	0.0	0.0	0.0	0.0	0.00010969760317174265	0.0	0.0	0.023423195491643994	0.0	0.0	0.0	0.0	0.0	0.0	0.00013198916523023886	0.0	2.5085818624467443e-05	0.0	1.1522880720180044e-05	0.0	0.00012920171006607076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.156503642039542e-05	0.0	0.0	0.0	0.0	0.0003810425806451613	0.0005334193548387097	0.0	0.0	0.00018245161290322582	0.00033858064516129033	0.01773316129032258	0.01770670967741935	0.0	0.00024905942275042444	0.0002574261460101868	0.0	0.0	0.0	0.0
LC006	0.0009043411543956473	0.0	0.0005669039145907473	0.0	0.000550011198919555	3.677184139784946e-05	0.9927666607326932	7.05812429138322e-05	9.40256662912913e-06	1.8097372843734144e-05	0.00292675124235474	7.016426608306189e-05	0.0	3.367703843390805e-05	0.0005972671143847487	0.0	0.0010328964531527531	0.3932798987989324	0.0	0.0	0.00032470122928392745	0.0	0.0	0.004143705297737858	0.0	3.11720367494824e-05	0.0	0.0	0.0	0.0	0.0	0.0	8.168459145021645e-05	0.0007910242153679653	0.00015204480593607306	0.0001463112448060942	0.0	0.00015770696671525754	0.009060980204983924	0.0	0.0	0.0	0.0	4.016203703703703e-06	0.0006147953583971903	4.654447115384615e-06	0.00044837752214566933	0.0	8.611774707300276e-05	0.0	0.0	0.0	0.0	0.00019707162773569022	3.1297282355679706e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006147842517493639	0.0	0.0	0.0	0.0001655341569767442	0.0	0.004011387738453815	0.0	0.0013660214552238805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014485600490196078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00036706250000000004	0.0	0.0	0.0	0.0006763671875	0.0	0.0	0.0	0.0	0.0009889665570175438	0.002244078947368421	0.0	0.006215143229166667	0.0	0.0011771809895833334
LC007	0.00038619303240319147	0.0	0.0021196036184343253	0.0	0.0	0.01729944788237876	0.0	0.18082283474478228	0.006316767379624522	0.00025192391720767454	0.0	0.005683351725054843	0.0	0.0	1.3025383463610747e-06	0.0	0.0	0.0	0.0	2.728947174537685e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.001501899461083e-05	0.00024767794240984067	3.574198654531064e-05	0.0	2.292616171833165e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.8879961433392254e-05	0.0	0.00026171248664755157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003517162527661667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00020682027649769586	0.0	0.0	0.0	0.0	8.798911564625851e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC008	0.00010712404278397702	0.0	0.00033274199466370286	0.0	0.0	0.026378773031095613	0.0	0.011095762497191068	0.15720860432504577	0.004686826324040936	0.0	0.00031559996478563253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.531999531999532e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.485819152485819e-06	0.0003527205366285826	0.0	3.535149322550897e-05	0.0	8.555208100662647e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013504992944751981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC009	0.0007087082208224039	0.0	9.892010667128886e-06	0.0	0.0	0.0013789553689792311	0.0	0.00010223174810258958	0.0036606618033558675	0.09915842038322804	0.0	7.502268231374473e-06	0.0	0.0	0.0	0.0	1.4371801422581246e-06	0.0	0.0	1.0797355884146844e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.671691582744313e-06	0.0	0.0	0.0	3.39162225256574e-05	0.0	0.0	0.0	0.0	2.620215344720672e-06	0.0	0.0	3.3514903102865566e-05	0.0	3.723662528145716e-05	0.0	0.0	0.00020011899820119	0.0	0.0	0.0	0.0	0.0	0.01978868625185674	0.0	0.0	0.0	0.0	0.00016865099498280622	0.0	0.0007592201424471633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00022968036529680367	0.0	0.0	0.00023485540334855403	0.0	0.0	0.0	0.0	0.0009898468976631749	0.0	0.0	0.0	0.0	0.0020944616291059064	0.0	0.0	0.0	0.0	0.0	0.0	0.0005616438356164384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011929984779299849	0.0	0.0
LC010	0.000742099060160906	0.0	0.0006011378105716804	0.0	0.0	2.751109795797573e-06	0.0	0.0	0.0	0.0	0.9937399456648803	0.00047555558875972474	0.0	0.0032096209005588947	0.0009507022509129262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.269429723757606e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.2341236744906474e-05	1.732101713376063e-05	0.0008955229696646251	0.0	9.977844348748673e-05	0.0013899247273764222	0.0	0.0	0.0	0.0	0.0	9.846801879386504e-05	0.0	0.00022412711599123508	0.0	0.0010475724720095028	0.0	0.0	0.0	0.0	4.3026596237605415e-05	0.9661250482633729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.035772704644051e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006403669724770641	0.0	0.0	0.0	0.0	0.0	0.4312525802752294
LC011	0.0018287463146588983	0.0	0.007327293557598309	0.0	0.0	0.0012341044446779448	0.0	0.015613444348423409	0.001220080748500944	0.0001848472228419576	0.0004213115978842304	0.1918887061401182	0.0	2.483151746602269e-05	0.0	1.722601473883614e-05	7.202284180258157e-06	0.0	2.946719404374127e-06	4.757464222298004e-05	0.00017030941569751452	0.0	0.0	0.0	0.0	0.0005470164754756172	5.953288516182688e-07	0.0	0.0	0.0	0.0	6.487025112415531e-06	7.1982740386649186e-06	3.374542070307543e-05	5.4358573914595505e-05	0.013234751910635494	0.0	0.00037229988319199245	0.0001669203054138693	0.00015942533025696708	0.0	0.0	0.0	0.001759977078055254	0.0012365931583611018	0.0	0.0018153318884813665	0.0	0.00042445688750100945	0.0	0.0	0.0	0.0	9.909765406508079e-05	0.00011967135552199151	0.0	0.0	0.0003364271417919234	0.0	0.0	0.0	0.0	0.0	0.0	5.671730860084044e-06	0.0	0.0	0.0	1.4377698659192484e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3003047178732794e-05	0.0	0.0	0.0	0.0	0.0	0.05767719869706841	0.05770407166123779	0.0	0.035614169381107494	0.03933599348534202	0.0	0.000743485342019544	0.040464739413680784	0.037201277215840906	0.038662146408366196	0.0	0.0	0.0	0.0
LC012	0.00017897413062114103	0.013279537008683688	4.076318663894859e-05	0.0	0.0	1.4838709677419356e-06	0.0	0.00010548101748950404	4.2126780245592124e-05	0.0	0.0	0.03705806885004462	0.9999648912415995	0.0009254566404916353	0.0	0.0	0.0	0.0	0.0	0.0003536821913238255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7496645095182836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017635374648575968	0.00011248624862486249	0.0	5.488422858033835e-06	0.0	5.616698033439708e-06	0.0	0.0	0.0	0.005858619685497962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9783699000334817	0.0	0.0	0.00016118711107751998	0.0	0.0015748100753471574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9252465378268596	0.0	0.0	0.0	0.0	0.0	0.0	0.9480909570957097	0.9116855115511551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9299952365236525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC013	0.0005172233726373075	0.0	1.0003272385159733e-05	0.0	1.15835952370413e-05	0.0	0.0	0.0	0.0	4.842806907048758e-06	0.00028041627122218704	2.6712063349432777e-05	0.0	0.9362485879904876	0.00024254676387975852	0.0	3.3735530103509525e-05	0.0	0.0	1.3753578986679944e-05	0.0	0.0	0.0	0.0	0.0	0.0008396259013350467	0.0	0.0	0.0	0.0	0.0	0.0	5.057769816390506e-06	0.0001631092700403045	0.0004690869154463864	0.0	0.0	0.0	1.5012750859297039e-06	0.0	0.0	0.0	0.0	1.6321839080459768e-06	8.07742105958515e-05	0.0	0.0001287157208797176	0.0	0.00026037475064120833	0.0	0.0	6.895297805642633e-05	0.0	0.0	0.00014307262569832402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023227975528364846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01571493431855501	0.08219413793103449	0.0	0.0	0.0	0.0	0.0	0.0	0.00556415948275862
LC014	0.00032757300560958555	0.0	0.0008595088104504215	0.0	2.2192162996153358e-06	3.031117571420585e-05	0.0	0.0	0.0	5.717654693225074e-06	4.032616242401115e-05	3.810002314566527e-06	0.0	0.00017447618478455746	0.9260851659062442	5.169837875044557e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1694951448019491	0.0	0.0	0.0	0.0	0.0	0.0	9.585631006774854e-06	0.0009493474982556439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.068873756465018e-06	0.0	9.565005657647851e-05	2.867828149229226e-05	0.0	0.0	0.0	0.0	2.583968320052671e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013361009229777117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.172136188293174e-05	0.0	0.0	0.0	0.0	4.4159445407279034e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC015	0.0007075305973903108	0.0	2.48247982971993e-05	0.0	0.0	0.0	0.0	5.4735369325034975e-06	0.0	0.0	0.0	0.0002592198581560284	0.0	0.0	0.0	0.781144064056134	0.05479439300605923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4078014184397161e-05	0.0	0.0010344267949091617	0.00012471169525156677	0.0	0.0	4.94521219584502e-05	0.009612340548660362	0.0	0.0	0.0	0.018293469923824534	0.24942443208064996	0.0	9.821578153794606e-06	0.0	0.0	0.0023339360146820954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006690487791673435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00430069879015436	0.0	0.0	0.0	0.10597145390070921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LC016	0.0018636893086840193	0.0	0.0004501006091329916	0.0	0.0	6.68643786168567e-05	0.0	0.0005341673010234289	0.000151902079699593	0.0	0.0	0.002474722432756117	0.0	0.0015038898756660746	8.034914468479394e-05	0.07371559307408387	0.549708652265679	0.0	0.0	3.644991054882623e-05	3.345785609789422e-06	0.0	0.0	0.0	0.0	0.004188934023219296	0.0015123676353879295	0.0	0.0	0.0	0.0	0.0	0.0	0.0010022744573366243	2.280347453709336e-05	2.7423822714681434e-05	0.0	5.425122599153846e-05	9.564174467283101e-05	0.006998892342609039	0.0	0.0	0.0	0.11135280902572199	0.1147181281177055	0.0	0.0006787485489713431	0.0	2.2720667028756806e-05	0.09815850238384594	0.0	0.0008176974002906507	0.0037829554557169227	2.163733247214597e-05	0.0	0.0	0.0	4.2712234372659376e-05	0.0	0.0	0.0	0.0	0.0004480757844878627	0.0	0.0	0.0	0.00016985656355775997	0.0	0.0	0.0	5.451432729140363e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19293295404085256	0.0448066163410302	0.0	0.0	0.0	0.0	0.0	0.0021339396092362344	0.0	0.000291651865008881	0.0	0.03838250444049734	0.031636589698046176	0.0	0.0006927175843694493	0.03104706927175844	0.004761858464990183	0.004357109469944844	0.0	0.0	0.0	0.0
