StruCluster	SC02	SC03	SC04	SC05	SC06	SC07	SC08	SC09	SC10	SC11	SC12	SC15	SC16	SC17	SC18	SC20	SC21	SC22	SC23	SC24	SC25	SC26	SC27	SC28	SC29	SC30	SC33	SC34	SC35	SC36	SC37	SC38	SC39	SC42	SC43	SC44	SC45	SC46	SC47	SC48	SC49	SC50	SC51	SC52	SC53	SC54	SC55	SC56	SC57	SC58	SC59
SC02	0.45787027777777783	0.005093676122931442	0.02548064516129032	0.0	0.01136039094650206	0.020939651741293534	0.0038803846153846154	0.021802272727272726	0.0030917708333333335	0.0010351851851851852	0.005379526748971193	0.0	0.013104166666666665	0.025616666666666666	0.0034260162601626016	0.0	0.0	0.0	0.015144871794871796	0.007745802005012531	0.00763483606557377	0.00035920289855072464	0.023227014925373133	0.002626190476190476	0.016083760683760683	0.01825516039051604	0.012173397435897437	0.0	0.0	0.0	0.017394586894586894	0.00867037037037037	0.006710689655172414	0.009360714285714286	0.0008745098039215686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026376078431372546	0.004205813953488372	0.00046854166666666675	0.01768849765258216	0.032037318840579705	0.0028749999999999995
SC03	0.0038530260047281322	0.16188530204718074	0.004548500343170899	0.030272209492635024	0.04092823833289554	0.023349003563741578	0.0375049601745772	0.02022682140554481	0.02953756205673759	0.007947029156816391	0.003991258208563173	0.04033879432624113	0.04581973995271867	0.019716264775413713	0.04313596955544023	0.0	0.0	0.0	0.018908304540219432	0.028191155548445583	0.07987575630740612	0.023956108541473942	0.03432064835397481	0.013305612968591691	0.035030083651573014	0.010364117926347964	0.00485562193126023	0.0	0.0	0.0	0.015554737224949992	0.11966790189125297	0.004852897040841281	0.03937553191489362	0.029553245723821443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019843148101793908	0.03638922975424707	0.034197970449172575	0.009747050244730797	0.015175729263028062	0.03742657821798321
SC04	0.018148790322580644	0.00676901166781057	0.4381136966701352	0.007766377171215881	0.008111164874551971	0.012487791686727652	0.007759032258064516	0.014739296187683285	0.021634927419354837	0.00657128733572282	0.018242692154520113	0.005933870967741935	0.008978225806451613	0.003467741935483871	0.013186664044059795	0.0	0.0	0.0	0.009620088227185	0.01800210768857628	0.00995339767318879	0.0028582748948106592	0.10288160327395282	0.006739400921658986	0.014494640198511165	0.03512768659738156	0.03502617866004963	0.0	0.0	0.0	0.008300150261924455	0.022805855734767025	0.008942338153503893	0.00502860599078341	0.0051785578747628085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03238335863377609	0.007860982745686421	0.0025039381720430107	0.01883811903680145	0.0369758239831697	0.004145279013718947
SC05	0.0	0.03588609929078014	0.007336600496277916	0.4286	0.003768850902184235	0.012781109835438193	0.02334303550295858	0.0038692307692307698	0.007181846153846154	0.0007548433048433048	0.003992687559354226	0.312296923076923	0.0	0.0	0.01364891181988743	0.0	0.0	0.0	0.002610190664036818	0.006174702139965298	0.007406052963430013	0.005765886287625418	0.023516320321469573	0.024235164835164837	0.01957475345167653	0.028939510782104924	0.0	0.0	0.0	0.0	0.007224589086127548	0.072773547008547	0.00983023872679045	0.006377472527472528	0.0383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022311493212669682	0.005288193202146691	0.00014737179487179486	0.035586652221018415	0.014041739130434782	0.005517595048629531
SC06	0.008907818930041153	0.03576984940022765	0.005180752688172043	0.003983570750237417	0.11224391098917848	0.10687845709722989	0.03820454890788224	0.05782008978675646	0.012090324074074075	0.0093579561042524	0.003361179698216735	0.007397037037037037	0.029836049382716046	0.01387201646090535	0.030433700692562484	0.0	0.0	0.0	0.073995452147304	0.015710536526501437	0.028386711192066382	0.019330526033279657	0.03900984890363	0.006097354497354498	0.05802450142450142	0.008452284725450695	0.007623931623931625	0.0	0.0	0.0	0.10235816186556927	0.03801642661179698	0.0026119821200510855	0.054860149911816584	0.011889324618736385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07305788671023965	0.02443371231696813	0.01132372839506173	0.01339926099808729	0.018596900161030595	0.014168894565063147
SC07	0.016372139303482587	0.021079114004445856	0.008707964211202054	0.008451090700344431	0.1106346459062711	0.17760959852478897	0.01996600420972063	0.08291322478516508	0.01129462064676617	0.012337575087525336	0.004124083287267367	0.009109691542288557	0.04056185737976783	0.007964510779436152	0.02410564251911176	0.0	0.0	0.0	0.14277192456520815	0.01453717876781506	0.03261592039800995	0.0056954877784988105	0.06896872540283656	0.005356005685856432	0.10933446868222987	0.014211188825745747	0.0109869613471106	0.0	0.0	0.0	0.16813741931368795	0.03808471531232725	0.0038781959169668897	0.07965881307746979	0.017175797483172373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14363524553702078	0.01572437116741872	0.004253708126036484	0.018429966365356317	0.02953532338308458	0.013179997712586492
SC08	0.0036017307692307694	0.038862905073649756	0.005783672456575683	0.025207869822485206	0.038476327635327635	0.019613921546115576	0.41022208875739646	0.02128	0.005813875	0.011933643874643874	0.004817217473884141	0.029078569230769236	0.01782197435897436	0.024150410256410255	0.035172878048780484	0.0	0.0	0.0	0.009992353714661407	0.03877835049161365	0.03940372761664565	0.015524541806020068	0.007527630884041332	0.053044153846153845	0.023066587771203156	0.009196906662375283	0.0047032840236686385	0.0	0.0	0.0	0.007450088099934254	0.04569461538461538	0.004164631299734748	0.031022417582417583	0.04652963800904977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022249610859728507	0.05049679069767442	0.014865407051282052	0.014864146262188516	0.016360580267558527	0.03299596949602122
SC09	0.012093181818181819	0.014886034816247583	0.013659384164222875	0.0	0.06690852974186307	0.09126976028946178	0.03203216783216783	0.3685950413223141	0.011207727272727274	0.018072390572390573	0.0010113355780022447	0.004383636363636364	0.029783333333333332	0.03707272727272727	0.05536319290465632	0.0	0.0	0.0	0.11104693084693085	0.015020232399179767	0.035619672131147535	0.006595652173913044	0.04490312075983718	0.008896103896103897	0.06810060606060606	0.02394790414606314	0.005861888111888112	0.0	0.0	0.0	0.06769906759906759	0.019818181818181818	0.01832319749216301	0.03972077922077922	0.04158823529411765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11552352941176469	0.04623509513742072	0.0040641666666666664	0.013494366197183099	0.01597094861660079	0.012062277951933124
SC10	0.0020860416666666666	0.024564550531914895	0.009016048387096774	0.0037609615384615385	0.012554706790123457	0.012681044776119402	0.0036795576923076925	0.010454318181818181	0.5186450781249999	0.0007257407407407407	0.001027638888888889	0.002894	0.007004375	0.0036987499999999998	0.006508932926829268	0.0	0.0	0.0	0.015777222222222224	0.008134793233082707	0.009014467213114755	0.0009047826086956522	0.026979356343283585	0.0012567857142857142	0.013221762820512819	0.0057155805439330545	0.0007092788461538461	0.0	0.0	0.0	0.017445470085470087	0.07179899305555557	0.00047662931034482753	0.01003955357142857	0.033330294117647055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018583926470588236	0.005198953488372093	0.0005335520833333334	0.00325718661971831	0.006363396739130435	0.0038664080459770113
SC11	0.0010351851851851852	0.006455011820330969	0.004188470728793309	0.0004628205128205128	0.01072249657064472	0.011672765800626496	0.008619883190883191	0.013586868686868689	0.0008656712962962963	0.5450574417009603	0.0009580704160951075	0.0	0.011183950617283951	0.0	0.021582357723577236	0.0	0.0	0.0	0.006550102880658437	0.021667626009468116	0.006918336369156041	0.007079951690821256	0.004157683803206191	0.003265873015873016	0.009093874643874645	0.003781448938478227	0.0019334757834757836	0.0	0.0	0.0	0.009705571383349161	0.0027356995884773665	0.0011568326947637292	0.00751005291005291	0.0016712418300653595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004947254901960784	0.0105656330749354	0.005048501543209876	0.0034430099113197704	0.0016335346215781	0.012300779054916987
SC12	0.012042304526748971	0.004893047894229927	0.029876901632815613	0.0047323266856600195	0.0028502179545800946	0.0036369264787175235	0.004964472934472934	0.0007285072951739619	0.003312808641975309	0.0	0.516696159122085	0.00214241975308642	0.00092119341563786	0.0	0.0038302800361336947	0.0	0.0	0.0	0.00220073863036826	0.0928216968346793	0.024760089050799433	0.0006048309178743962	0.014111378293716602	0.002781305114638448	0.004322823678379234	0.018351134872669043	0.023598670465337132	0.0	0.0	0.0	0.005290572966128522	0.007906399176954732	0.006896662409535973	0.0017920634920634924	0.0027398692810457516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007617327523602033	0.0017858168245765145	7.811728395061728e-05	0.12847637628238567	0.025351604938271606	0.003994593444018732
SC15	0.0023316666666666668	0.04426883687943263	0.0016058064516129033	0.3156476923076923	0.012192345679012345	0.011228358208955224	0.027143800000000003	0.004383636363636364	0.005017499999999999	0.0	0.008560493827160495	0.46774799999999994	0.0	0.0	0.03998946341463415	0.0	0.0	0.0	0.004633846153846153	0.008929097744360903	0.010305573770491804	0.009781739130434782	0.01795749253731343	0.025845714285714284	0.019814871794871798	0.016951497907949788	0.0018515384615384613	0.0	0.0	0.0	0.003714358974358974	0.07736833333333333	0.009110344827586207	0.018005714285714285	0.03541647058823529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03258588235294117	0.007368372093023256	0.017195166666666668	0.0361056338028169	0.015182173913043478	0.009768735632183908
SC16	0.013094444444444443	0.04548617021276596	0.007679301075268818	0.0026692307692307692	0.031118312757201644	0.04292172470978441	0.01793958974358974	0.014393939393939395	0.007489645833333333	0.010661111111111113	0.0018292181069958849	0.0	0.2642777777777778	0.04691666666666667	0.031606504065040654	0.0	0.0	0.0	0.02466851851851852	0.02574484962406015	0.02733551912568306	0.01231014492753623	0.019008743781094524	0.0	0.026596581196581193	0.005294630404463041	0.0018205128205128207	0.0	0.0	0.0	0.052501837606837604	0.016288425925925925	0.0034493333333333333	0.03357023809523809	0.008355882352941177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04059294117647059	0.01202170542635659	0.002835277777777778	0.007290610328638498	0.009682246376811593	0.015609865900383144
SC17	0.025616666666666666	0.0236786524822695	0.002783333333333334	0.0	0.014439094650205762	0.00962620232172471	0.026466820512820514	0.03707272727272728	0.0037012499999999997	0.0011716049382716049	0.0	0.0	0.04778888888888889	0.6	0.007033333333333333	0.0	0.0	0.0	0.001262108262108262	0.014384962406015037	0.0339775956284153	0.0030188405797101445	0.0035932835820895524	0.0122	0.022611111111111113	0.0	0.0	0.0	0.0	0.0	0.0	0.004012962962962963	0.000863448275862069	0.007449999999999999	0.011907843137254901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010773333333333334	0.04022945736434108	0.003131944444444444	0.0041807511737089196	0.004011594202898551	0.011235440613026818
SC18	0.004867886178861788	0.04181593495934959	0.006555157356412274	0.009961613508442777	0.02956264077085215	0.023680936779517048	0.03297522701688555	0.06058314855875832	0.007658445121951219	0.020698929539295394	0.006749202047576032	0.02134419512195122	0.0290020325203252	0.008293170731707317	0.12526198691255205	0.0	0.0	0.0	0.010649593495934959	0.053547480286081056	0.02723386645341863	0.028731802757158007	0.015621132144157264	0.01494459930313589	0.02382319574734209	0.014317544647413001	0.012462054409005628	0.0	0.0	0.0	0.013865144882218051	0.033730420054200544	0.0067121968040370055	0.01589163763066202	0.015539598278335722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021380516499282638	0.03526378332387975	0.011084829268292682	0.01964215046375816	0.04341898197242842	0.028855187832912813
SC20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SC21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SC22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SC23	0.009540028490028489	0.021737934169849062	0.008983098979873172	0.0010918474687705456	0.08130568112271816	0.1545054637071055	0.009833214990138065	0.1057087024087024	0.018785811965811965	0.007535501741057296	0.0031168196686715203	0.0011617094017094016	0.020696866096866096	0.001262108262108262	0.011832353554304773	0.0	0.0	0.0	0.33717656512528305	0.015223732407942933	0.013590640325066555	0.004131389817911557	0.07027735680571501	0.0026926739926739925	0.08053653298268683	0.015246740335443265	0.00669930966469428	0.0	0.0	0.0	0.14392543063773833	0.07432124881291548	0.0023283819628647216	0.08372741147741147	0.01443941679235797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11205997988939165	0.012043549990061618	0.006816951566951566	0.014711255567593595	0.022791099962839092	0.0048392130857648095
SC24	0.0069432518796992485	0.04070583693275743	0.020265951976715983	0.006159444765760555	0.017246609115381045	0.014836140350877193	0.053277858299595145	0.014560287081339713	0.011711043233082707	0.018751970203285992	0.06527201336675022	0.009609954887218046	0.024336766917293234	0.018243132832080202	0.051632967174032644	0.0	0.0	0.0	0.010497802197802197	0.3005345762903499	0.023113904844077406	0.015210219025825434	0.021374278981034677	0.0071965198711063365	0.023008534798534798	0.05652918645987353	0.01591101792943898	0.0	0.0	0.0	0.016736668594563332	0.026450716374269007	0.01811874928701063	0.028321482277121373	0.02458842105263158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027159279964617426	0.03624014862738241	0.015743434210526316	0.016213027639521337	0.037258695652173913	0.049626891366346904
SC25	0.008869398907103825	0.08855314963376351	0.011188365943945002	0.008176796973518285	0.03213249342238413	0.034885539515537065	0.04218535308953342	0.03256974664679583	0.009124795081967212	0.008046782027929569	0.023919611414693384	0.00814	0.02294918032786885	0.021111475409836065	0.028067572970811673	0.0	0.0	0.0	0.01790103685021718	0.024830993467274742	0.20586733136253693	0.008117818959372773	0.030987230242231465	0.014018688524590164	0.05479970575872215	0.007612563961862954	0.006819861286254728	0.0	0.0	0.0	0.02671332492643968	0.02849485428051002	0.00611191633691351	0.05233454332552693	0.01597454194792671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041456563162970105	0.03040324056423942	0.012818428961748634	0.01924235049642115	0.01783232359230221	0.028876370830977955
